Albania,China,Angola,Bangladesh,Afghanistan,Brunei,Antigua
Andorra,Japan,Benin,Bhutan,Algeria,Cambodia,Argentina
Armenia,Mongolia,Botswana,India,Bahrain,Indonesia,Australia
Austria,North Korea,Burkina Faso,Maldives,Djibouti,Laos,Bahamas
Azerbaijan,South Korea,Burundi,Nepal,Egypt,Malaysia,Barbados
Belarus,Taiwan,Cameroon,Sri Lanka,Iran,Myanmar,Belize
Belgium,,Cape Verde,,Iraq,Philippines,Bolivia
Bosnia,,CAR,,Israel,Philippines,Brazil
Bulgaria,,Chad,,Jordan,Singapore,Canada
Croatia,,Comoros,,Kuwait,Thailand,Chile
Cyprus,,DRC,,Lebanon,Timor Leste,Colombia
Czechia,,Equatorial Guinea,,Libya,Vietnam,Costa Rica
Denmark,,Eritrea,,Mauritania,,Cuba
Estonia,,Eswatini,,Morocco,,Dominica
Finland,,Ethiopia,,Oman,,Dominican Republic
France,,Gabon,,Pakistan,,Ecuador
Georgia,,Gambia,,Qatar,,El Salvador
Germany,,Ghana,,Saudi Arabia,,Fiji
Greece,,Guinea,,Sudan,,Grenada
Hungary,,Guinea Bissau,,Syria,,Guatemala
Iceland,,Ivory Coast,,Tajikistan,,Guyana
Ireland,,Kenya,,Tunisia,,Haiti
Italy,,Lesotho,,UAE,,Honduras
Kazakhstan,,Liberia,,Yemen,,Kiribati
Kosovo,,Madagascar,,,,Marshall Islands
Kyrgyzstan,,Malawi,,,,Mexico
Latvia,,Mali,,,,Micronesia
Liechtenstein,,Mauritius,,,,Nauru
Lithuania,,Mozambique,,,,New Zealand
Luxembourg,,Namibia,,,,Nicaragua
Macedonia,,Niger,,,,Palau
Malta,,Nigeria,,,,Panama
Moldova,,Republic of Congo,,,,Papua New Guinea
Monaco,,Rwanda,,,,Paraguay
Montenegro,,Sao Tome,,,,Peru
Netherlands,,Senegal,,,,Saint Kitts
Norway,,Seychelles,,,,Saint Lucia
Poland,,Sierra Leone,,,,Saint Vincent
Portugal,,Somalia,,,,Samoa
Romania,,South Africa,,,,Solomon Islands
Russia,,South Sudan,,,,Suriname
San Marino,,Tanzania,,,,Tonga
Serbia,,Togo,,,,Trinidad
Slovakia,,Uganda,,,,Tuvalu
Slovenia,,Zambia,,,,Uruguay
Spain,,Zimbabwe,,,,USA
Sweden,,,,,,Vanuatu
Switzerland,,,,,,Venezuela
Turkey,,,,,,
Turkmenistan,,,,,,
UK,,,,,,
Ukraine,,,,,,
Uzbekistan,,,,,,
Vatican,,,,,,